Trade DATE,Symbol,Close
12/20/2017,AMZN,1177.62
12/21/2017,AMZN,1174.76
12/22/2017,AMZN,1168.36
12/26/2017,AMZN,1176.76
12/27/2017,AMZN,1182.26
12/28/2017,AMZN,1186.1
12/29/2017,AMZN,1169.47
1/2/2018,AMZN,1189.01
1/3/2018,AMZN,1204.2
1/4/2018,AMZN,1209.59
1/5/2018,AMZN,1229.14
1/8/2018,AMZN,1246.87
1/9/2018,AMZN,1252.7
1/10/2018,AMZN,1254.33
1/11/2018,AMZN,1276.68
1/12/2018,AMZN,1305.2
1/16/2018,AMZN,1304.86
1/17/2018,AMZN,1295
1/18/2018,AMZN,1293.32
1/19/2018,AMZN,1294.58
1/22/2018,AMZN,1327.31
1/23/2018,AMZN,1362.54
1/24/2018,AMZN,1357.51
1/25/2018,AMZN,1377.95
1/26/2018,AMZN,1402.05
1/29/2018,AMZN,1417.68
1/30/2018,AMZN,1437.82
1/31/2018,AMZN,1450.89
2/1/2018,AMZN,1390
2/2/2018,AMZN,1429.95
2/5/2018,AMZN,1390
2/6/2018,AMZN,1442.84
2/7/2018,AMZN,1416.78
2/8/2018,AMZN,1350.5
2/9/2018,AMZN,1339.6
2/12/2018,AMZN,1386.23
2/13/2018,AMZN,1414.51
2/14/2018,AMZN,1451.05
2/15/2018,AMZN,1461.76
2/16/2018,AMZN,1448.69
2/20/2018,AMZN,1468.35
2/21/2018,AMZN,1482.92
2/22/2018,AMZN,1485.34
2/23/2018,AMZN,1500
2/26/2018,AMZN,1521.95
2/27/2018,AMZN,1511.98
2/28/2018,AMZN,1512.45
3/1/2018,AMZN,1493.45
3/2/2018,AMZN,1500.25
3/5/2018,AMZN,1523.61
3/6/2018,AMZN,1537.64
3/7/2018,AMZN,1545
3/8/2018,AMZN,1551.86
3/9/2018,AMZN,1578.89
3/12/2018,AMZN,1598.39
3/13/2018,AMZN,1588.18
3/14/2018,AMZN,1591
3/15/2018,AMZN,1582.32
3/16/2018,AMZN,1571.68
3/19/2018,AMZN,1544.93
3/20/2018,AMZN,1586.51
3/21/2018,AMZN,1581.86
3/22/2018,AMZN,1544.92
3/23/2018,AMZN,1495.56
3/26/2018,AMZN,1555.86
3/27/2018,AMZN,1497.05
3/28/2018,AMZN,1431.42
3/29/2018,AMZN,1447.34
4/2/2018,AMZN,1371.99
4/3/2018,AMZN,1392.05
4/4/2018,AMZN,1410.57
4/5/2018,AMZN,1451.75
4/6/2018,AMZN,1405.23
4/9/2018,AMZN,1406.08
4/10/2018,AMZN,1436.22
4/11/2018,AMZN,1427.05
4/12/2018,AMZN,1448.5
4/13/2018,AMZN,1430.79
4/16/2018,AMZN,1441.5
4/17/2018,AMZN,1503.83
4/18/2018,AMZN,1527.84
4/19/2018,AMZN,1556.91
4/20/2018,AMZN,1527.49
4/23/2018,AMZN,1517.86
4/24/2018,AMZN,1460.09
4/25/2018,AMZN,1460.17
4/26/2018,AMZN,1517.96
4/27/2018,AMZN,1572.62
4/30/2018,AMZN,1566.13
5/1/2018,AMZN,1582.26
5/2/2018,AMZN,1569.68
5/3/2018,AMZN,1572.08
5/4/2018,AMZN,1580.95
5/7/2018,AMZN,1600.14
5/8/2018,AMZN,1592.39
5/9/2018,AMZN,1608
5/10/2018,AMZN,1609.08
5/11/2018,AMZN,1602.91
5/14/2018,AMZN,1601.54
5/15/2018,AMZN,1576.12
5/16/2018,AMZN,1587.28
5/17/2018,AMZN,1581.76
5/18/2018,AMZN,1574.37
5/21/2018,AMZN,1585.46
5/22/2018,AMZN,1581.4
5/23/2018,AMZN,1601.86
5/24/2018,AMZN,1603.07
5/25/2018,AMZN,1610.15
5/29/2018,AMZN,1612.87
5/30/2018,AMZN,1624.89
5/31/2018,AMZN,1629.62
6/1/2018,AMZN,1641.54
6/4/2018,AMZN,1665.27
6/5/2018,AMZN,1696.35
6/6/2018,AMZN,1695.75
6/7/2018,AMZN,1689.3
6/8/2018,AMZN,1683.99
6/11/2018,AMZN,1689.12
6/12/2018,AMZN,1698.75
6/13/2018,AMZN,1704.86
6/14/2018,AMZN,1723.86
6/15/2018,AMZN,1715.97
6/18/2018,AMZN,1723.79
6/19/2018,AMZN,1734.78
6/20/2018,AMZN,1734.78
6/21/2018,AMZN,1730.22
6/22/2018,AMZN,1715.67
6/25/2018,AMZN,1663.15
6/26/2018,AMZN,1691.09
6/27/2018,AMZN,1660.51
6/28/2018,AMZN,1701.45
6/29/2018,AMZN,1699.8
7/2/2018,AMZN,1713.78
7/3/2018,AMZN,1693.96
7/5/2018,AMZN,1699.73
7/6/2018,AMZN,1710.63
7/9/2018,AMZN,1739.02
7/10/2018,AMZN,1743.07
7/11/2018,AMZN,1755
7/12/2018,AMZN,1796.62
7/13/2018,AMZN,1813.03
7/16/2018,AMZN,1822.49
7/17/2018,AMZN,1843.93
7/18/2018,AMZN,1842.92
7/19/2018,AMZN,1812.97
7/20/2018,AMZN,1813.7
7/23/2018,AMZN,1802
7/24/2018,AMZN,1829.24
7/25/2018,AMZN,1863.61
7/26/2018,AMZN,1808
7/27/2018,AMZN,1817.27
7/30/2018,AMZN,1779.22
7/31/2018,AMZN,1777.44
8/1/2018,AMZN,1797.17
8/2/2018,AMZN,1834.33
8/3/2018,AMZN,1823.29
8/6/2018,AMZN,1847.75
8/7/2018,AMZN,1862.48
8/8/2018,AMZN,1886.52
8/9/2018,AMZN,1898.52
8/10/2018,AMZN,1886.3
8/13/2018,AMZN,1896.2
8/14/2018,AMZN,1919.65
8/15/2018,AMZN,1882.62
8/16/2018,AMZN,1886.52
8/17/2018,AMZN,1882.22
8/20/2018,AMZN,1876.71
8/21/2018,AMZN,1883.42
8/22/2018,AMZN,1904.9
8/23/2018,AMZN,1902.9
8/24/2018,AMZN,1905.39
8/27/2018,AMZN,1927.68
8/28/2018,AMZN,1932.82
8/29/2018,AMZN,1998.1
8/30/2018,AMZN,2002.38
